Shift,Begin,End
2019-11-02-2,2019-11-02 16:51:27.500,2019-11-02 16:53:26.000
2019-11-02-2,2019-11-02 16:53:26.000,2019-11-02 16:55:36.250
2019-11-02-2,2019-11-02 16:55:36.250,2019-11-02 16:56:23.250
2019-11-02-2,2019-11-02 16:56:23.250,2019-11-02 16:59:22.000
2019-11-02-2,2019-11-02 16:59:22.000,2019-11-02 17:00:54.500
2019-11-02-2,2019-11-02 17:03:44.000,2019-11-02 17:06:47.250
2019-11-02-2,2019-11-02 17:06:47.250,2019-11-02 17:09:29.750
2019-11-02-2,2019-11-02 17:09:29.750,2019-11-02 17:12:30.250
2019-11-02-2,2019-11-02 17:12:30.250,2019-11-02 17:14:41.750
2019-11-02-2,2019-11-02 17:14:41.750,2019-11-02 17:17:22.500
2019-11-02-2,2019-11-02 17:17:22.500,2019-11-02 17:19:04.750
2019-11-02-2,2019-11-02 17:21:59.500,2019-11-02 17:24:07.500
2019-11-02-2,2019-11-02 17:24:07.500,2019-11-02 17:25:13.000
2019-11-02-2,2019-11-02 17:25:13.000,2019-11-02 17:34:59.750
2019-11-02-2,2019-11-02 17:34:59.750,2019-11-02 17:38:57.750
2019-11-02-2,2019-11-02 17:38:57.750,2019-11-02 17:39:54.500
2019-11-02-2,2019-11-02 17:39:54.500,2019-11-02 17:42:56.250
2019-11-02-2,2019-11-02 17:58:33.500,2019-11-02 18:06:35.500
2019-11-02-2,2019-11-02 18:09:11.250,2019-11-02 18:10:15.000
2019-11-02-2,2019-11-02 18:12:19.250,2019-11-02 18:15:38.250
2019-11-02-2,2019-11-02 18:15:38.250,2019-11-02 18:18:12.250
2019-11-02-2,2019-11-02 18:18:12.250,2019-11-02 18:21:31.250
2019-11-02-2,2019-11-02 18:21:31.250,2019-11-02 18:22:31.750
2019-11-02-2,2019-11-02 18:22:31.750,2019-11-02 18:29:58.500
2019-11-02-2,2019-11-02 18:29:58.500,2019-11-02 18:31:26.500
2019-11-02-2,2019-11-02 18:31:26.500,2019-11-02 18:33:47.250
2019-11-02-2,2019-11-02 18:33:47.250,2019-11-02 18:34:51.500
2019-11-02-2,2019-11-02 18:40:15.250,2019-11-02 18:49:23.500
2019-11-02-2,2019-11-02 18:49:23.500,2019-11-02 18:50:16.000
2019-11-02-2,2019-11-02 18:50:16.000,2019-11-02 18:55:52.250
2019-11-02-2,2019-11-02 18:55:52.250,2019-11-02 18:56:45.750
2019-11-02-2,2019-11-02 18:56:45.750,2019-11-02 19:01:05.000
2019-11-02-2,2019-11-02 19:01:05.000,2019-11-02 19:03:30.250
2019-11-02-2,2019-11-02 19:03:30.250,2019-11-02 19:07:03.500
2019-11-02-2,2019-11-02 19:07:03.500,2019-11-02 19:09:04.750
2019-11-02-2,2019-11-02 19:09:04.750,2019-11-02 19:12:19.250
2019-11-02-2,2019-11-02 19:12:19.250,2019-11-02 19:14:01.250
2019-11-02-2,2019-11-02 19:17:42.000,2019-11-02 19:19:57.000
2019-11-02-2,2019-11-02 19:19:57.000,2019-11-02 19:23:16.000
2019-11-02-2,2019-11-02 19:23:16.000,2019-11-02 19:26:00.000
2019-11-02-2,2019-11-02 19:26:00.000,2019-11-02 19:28:48.500
2019-11-02-2,2019-11-02 19:28:48.500,2019-11-02 19:31:15.000
2019-11-02-2,2019-11-02 19:31:15.000,2019-11-02 19:35:27.750
2019-11-02-2,2019-11-02 19:35:27.750,2019-11-02 19:36:27.500
2019-11-02-2,2019-11-02 19:36:27.500,2019-11-02 19:38:07.750
2019-11-02-2,2019-11-02 19:38:07.750,2019-11-02 19:40:40.000
2019-11-02-2,2019-11-02 19:42:46.750,2019-11-02 19:43:59.750
2019-11-02-2,2019-11-02 19:43:59.750,2019-11-02 19:47:46.000
2019-11-02-2,2019-11-02 19:47:46.000,2019-11-02 19:50:56.750
2019-11-02-2,2019-11-02 19:50:56.750,2019-11-02 19:53:59.750
2019-11-02-2,2019-11-02 19:53:59.750,2019-11-02 19:55:00.500
2019-11-02-2,2019-11-02 19:55:00.500,2019-11-02 19:57:00.250
2019-11-02-2,2019-11-02 19:57:00.250,2019-11-02 19:58:01.000
2019-11-02-2,2019-11-02 19:58:01.000,2019-11-02 20:01:18.750
2019-11-02-2,2019-11-02 20:03:40.500,2019-11-02 20:05:24.000
2019-11-02-2,2019-11-02 20:05:24.000,2019-11-02 20:09:07.750
2019-11-02-2,2019-11-02 20:11:45.750,2019-11-02 20:15:23.750
2019-11-02-2,2019-11-02 20:15:23.750,2019-11-02 20:15:38.500
2019-11-02-2,2019-11-02 20:15:39.250,2019-11-02 20:15:39.250
2019-11-02-2,2019-11-02 20:15:39.750,2019-11-02 20:15:41.000
2019-11-02-2,2019-11-02 20:30:11.500,2019-11-02 20:30:12.250
2019-11-02-2,2019-11-02 20:30:46.250,2019-11-02 20:33:49.250
2019-11-02-2,2019-11-02 20:35:51.000,2019-11-02 20:37:57.000
2019-11-02-2,2019-11-02 20:37:57.000,2019-11-02 20:39:38.250
2019-11-02-2,2019-11-02 20:39:38.250,2019-11-02 20:41:51.500
2019-11-02-2,2019-11-02 20:44:28.750,2019-11-02 20:46:09.000
2019-11-02-2,2019-11-02 20:52:01.500,2019-11-02 21:01:23.250
2019-11-02-2,2019-11-02 21:01:23.250,2019-11-02 21:04:09.250
2019-11-02-2,2019-11-02 21:04:09.250,2019-11-02 21:06:03.750
2019-11-02-2,2019-11-02 21:08:27.000,2019-11-02 21:10:44.750
2019-11-02-2,2019-11-02 21:10:44.750,2019-11-02 21:13:57.500
2019-11-02-2,2019-11-02 21:13:57.500,2019-11-02 21:15:04.750
2019-11-02-2,2019-11-02 21:15:04.750,2019-11-02 21:17:28.250
2019-11-02-2,2019-11-02 21:17:28.250,2019-11-02 21:21:13.000
2019-11-02-2,2019-11-02 21:21:13.000,2019-11-02 21:22:16.750
2019-11-02-2,2019-11-02 21:22:16.750,2019-11-02 21:25:23.500
2019-11-02-2,2019-11-02 21:25:23.500,2019-11-02 21:28:52.500
2019-11-02-2,2019-11-02 21:28:52.500,2019-11-02 21:30:10.250
2019-11-02-2,2019-11-02 21:30:10.250,2019-11-02 21:31:34.500
2019-11-02-2,2019-11-02 21:31:34.500,2019-11-02 21:34:14.750
2019-11-02-2,2019-11-02 21:36:21.750,2019-11-02 21:39:12.250
2019-11-02-2,2019-11-02 21:39:12.250,2019-11-02 21:40:18.500
2019-11-02-2,2019-11-02 21:40:18.500,2019-11-02 21:43:22.250
2019-11-02-2,2019-11-02 21:43:22.250,2019-11-02 21:48:21.000
